depto,victim_conflict,response,friendliness,substantive,gender_female,words_responses,victim_ID
QUINDIO,1,1,1,4,1,486,145
BOYACA,1,0,0,0,1,0,146
ANTIOQUIA,1,1,4,1,1,66,147
CAUCA,1,0,0,0,1,0,148
SANTANDER,1,1,2,1,0,24,149
VALLE DEL CAUCA,1,1,4,2,0,55,150
CAUCA,0,0,0,0,1,0,151
ANTIOQUIA,1,1,4,2,1,146,152
ATLANTICO,1,0,0,0,0,0,153
HUILA,1,0,0,0,1,0,154
BOYACA,0,0,0,0,1,0,155
CORDOBA,0,0,0,0,1,0,156
ANTIOQUIA,0,1,5,1,1,98,157
VALLE DEL CAUCA,0,1,3,3,1,79,158
ATLANTICO,0,0,0,0,0,0,159
BOLIVAR,1,0,0,0,0,0,160
CUNDINAMARCA,0,1,0,0,0,9,161
SANTANDER,1,1,4,1,1,56,162
CUNDINAMARCA,0,0,0,0,0,0,163
ANTIOQUIA,1,1,5,3,0,100,164
ANTIOQUIA,1,1,3,2,1,52,165
SANTANDER,1,0,0,0,0,0,166
ANTIOQUIA,0,0,0,0,0,0,167
TOLIMA,1,1,4,2,0,127,168
CUNDINAMARCA,1,1,4,1,1,105,169
CHOCO,1,1,2,0,1,29,170
ANTIOQUIA,0,0,0,0,1,0,171
CAQUETA,1,0,0,0,0,0,172
BOLIVAR,1,0,0,0,1,0,173
VALLE DEL CAUCA,1,1,3,1,1,196,174
VAUPES,1,1,3,3,1,144,175
TOLIMA,0,1,3,2,1,71,176
META,1,1,1,0,0,38,177
ANTIOQUIA,0,0,0,0,1,0,178
SANTANDER,0,0,0,0,0,0,179
CORDOBA,0,0,0,0,0,0,180
BOYACA,0,0,0,0,0,0,181
SANTANDER,0,1,3,3,1,121,182
MAGDALENA,1,0,0,0,0,0,183
CHOCO,1,0,0,0,0,0,184
NARINO,0,0,0,0,0,0,185
CUNDINAMARCA,1,1,4,2,0,102,186
SUCRE,1,0,0,0,0,0,187
CASANARE,0,0,0,0,1,0,188
TOLIMA,0,0,0,0,0,0,189
SANTANDER,1,1,3,1,0,30,190
SANTANDER,1,0,0,0,0,0,191
CUNDINAMARCA,1,1,1,1,0,25,192
ANTIOQUIA,1,1,3,1,1,41,193
CORDOBA,1,0,0,0,0,0,194
SANTANDER,1,0,0,0,0,0,195
CESAR,1,0,0,0,0,0,196
NORTE DE SANTANDER,0,1,3,2,1,89,197
BOYACA,0,1,0,0,1,21,198
CALDAS,1,0,0,0,1,0,199
CORDOBA,0,1,2,1,1,65,200
CUNDINAMARCA,1,0,0,0,1,0,201
SANTANDER,0,1,1,1,1,32,202
BOYACA,0,0,0,0,1,0,203
BOYACA,1,0,0,0,1,0,204
CESAR,0,1,0,0,0,32,205
BOYACA,1,0,0,0,1,0,206
BOYACA,1,0,0,0,0,0,207
NORTE DE SANTANDER,0,1,3,1,1,47,208
BOYACA,1,1,2,2,1,102,209
BOYACA,1,1,2,1,0,95,210
MAGDALENA,1,0,0,0,0,0,211
BOYACA,1,0,0,0,1,0,212
CUNDINAMARCA,0,0,0,0,0,0,213
CUNDINAMARCA,1,0,0,0,0,0,214
BOLIVAR,1,0,0,0,0,0,215
CORDOBA,0,0,0,0,1,0,216
MAGDALENA,1,0,0,0,1,0,217
BOYACA,1,1,5,1,0,60,218
SANTANDER,1,0,0,0,1,0,219
QUINDIO,0,0,0,0,1,0,220
ANTIOQUIA,1,0,0,0,0,0,221
ANTIOQUIA,1,0,0,0,0,0,222
BOLIVAR,1,0,0,0,0,0,223
ANTIOQUIA,0,1,2,1,1,61,224
TOLIMA,0,0,0,0,1,0,225
CUNDINAMARCA,1,0,0,0,1,0,226
HUILA,0,0,0,0,1,0,227
NARINO,1,0,0,0,0,0,228
PUTUMAYO,1,1,4,4,0,277,229
SUCRE,0,0,0,0,1,0,230
BOYACA,1,0,0,0,0,0,231
ANTIOQUIA,1,0,0,0,0,0,232
SANTANDER,0,0,0,0,1,0,233
MAGDALENA,0,0,0,0,0,0,234
ANTIOQUIA,1,0,0,0,0,0,235
CHOCO,1,0,0,0,0,0,236
SANTANDER,1,0,0,0,1,0,237
NARINO,1,1,5,2,0,123,238
NARINO,0,0,0,0,0,0,239
SANTANDER,1,1,5,1,0,55,240
NORTE DE SANTANDER,1,1,2,2,1,55,241
ANTIOQUIA,0,1,4,1,1,46,242
BOYACA,1,1,3,1,1,71,243
BOLIVAR,1,0,0,0,1,0,244
NARINO,0,1,2,2,0,43,245
QUINDIO,0,1,3,2,1,94,246
CAUCA,1,0,0,0,0,0,247
SANTANDER,1,0,0,0,0,0,248
SUCRE,0,0,0,0,1,0,249
BOYACA,0,0,0,0,0,0,250
CUNDINAMARCA,0,1,0,0,0,8,251
CORDOBA,1,0,0,0,0,0,252
BOYACA,0,0,0,0,1,0,253
SUCRE,0,0,0,0,0,0,254
TOLIMA,0,0,0,0,0,0,255
ARAUCA,1,0,0,0,0,0,256
NARINO,1,0,0,0,0,0,257
BOYACA,1,0,0,0,0,0,258
META,1,1,2,2,1,101,259
BOYACA,0,0,0,0,1,0,260
CUNDINAMARCA,1,1,6,2,0,197,261
NORTE DE SANTANDER,0,1,2,0,0,75,262
NORTE DE SANTANDER,1,1,5,1,1,71,263
BOYACA,0,1,2,1,1,436,264
META,0,0,0,0,1,0,265
VICHADA,0,0,0,0,1,0,266
NARINO,0,0,0,0,0,0,267
NARINO,0,0,0,0,0,0,268
TOLIMA,1,0,0,0,1,0,269
CAQUETA,1,0,0,0,0,0,270
SANTANDER,1,0,0,0,0,0,271
CESAR,1,0,0,0,0,0,272
ANTIOQUIA,1,0,0,0,0,0,273
VALLE DEL CAUCA,1,0,0,0,0,0,274
LA GUAJIRA,1,0,0,0,1,0,275
LA GUAJIRA,0,0,0,0,1,0,276
TOLIMA,1,0,0,0,0,0,277
ANTIOQUIA,0,0,0,0,0,0,278
RISARALDA,0,1,2,1,0,25,279
BOYACA,1,1,1,2,0,142,280
NORTE DE SANTANDER,1,0,0,0,0,0,281
ANTIOQUIA,1,1,5,1,1,50,282
VALLE DEL CAUCA,0,0,0,0,1,0,283
ANTIOQUIA,1,0,0,0,0,0,284
MAGDALENA,0,0,0,0,1,0,285
VALLE DEL CAUCA,1,1,5,4,1,245,286
META,1,0,0,0,1,0,287
CHOCO,1,0,0,0,1,0,288
CHOCO,1,0,0,0,1,0,289
BOLIVAR,0,0,0,0,1,0,290
SANTANDER,1,1,5,4,0,193,291
ANTIOQUIA,1,0,0,0,0,0,292
NORTE DE SANTANDER,0,0,0,0,1,0,293
META,1,1,3,2,1,78,294
VALLE DEL CAUCA,1,1,3,1,1,72,295
NARINO,1,0,0,0,0,0,296
BOYACA,1,1,5,1,0,264,297
CUNDINAMARCA,1,1,3,4,0,297,298
CESAR,1,0,0,0,0,0,299
CAQUETA,1,0,0,0,0,0,300
META,1,0,0,0,0,0,301
VALLE DEL CAUCA,0,0,0,0,1,0,302
BOYACA,1,1,2,1,0,17,303
SANTANDER,1,1,3,3,1,148,304
BOLIVAR,1,0,0,0,0,0,305
CHOCO,1,0,0,0,0,0,306
LA GUAJIRA,0,0,0,0,0,0,307
CESAR,0,0,0,0,1,0,308
CAQUETA,0,1,1,2,1,123,309
NARINO,1,0,0,0,0,0,310
BOLIVAR,1,0,0,0,1,0,311
CUNDINAMARCA,1,0,0,0,1,0,312
SANTANDER,0,0,0,0,1,0,313
MAGDALENA,0,1,2,2,1,162,314
SANTANDER,0,1,0,0,0,18,315
MAGDALENA,1,0,0,0,0,0,316
GUAVIARE,1,1,1,2,0,68,317
SUCRE,0,0,0,0,0,0,318
CUNDINAMARCA,1,1,4,1,1,145,319
NARINO,1,0,0,0,0,0,320
ANTIOQUIA,1,0,0,0,0,0,321
NARINO,0,0,0,0,1,0,322
CAUCA,1,0,0,0,0,0,323
NARINO,0,0,0,0,1,0,324
NORTE DE SANTANDER,1,0,0,0,1,0,325
NORTE DE SANTANDER,1,1,0,0,1,6,326
HUILA,1,0,0,0,1,0,327
SANTANDER,1,1,3,1,1,51,328
SANTANDER,0,1,3,0,1,77,329
ANTIOQUIA,1,0,0,0,1,0,330
ANTIOQUIA,1,1,3,2,1,118,331
TOLIMA,0,1,2,3,1,213,332
CUNDINAMARCA,1,0,0,0,0,0,333
TOLIMA,1,1,2,2,0,150,334
CALDAS,1,1,2,1,0,62,335
QUINDIO,0,0,0,0,1,0,336
BOYACA,1,0,0,0,1,0,337
TOLIMA,1,0,0,0,1,0,338
CAQUETA,1,0,0,0,0,0,339
CAUCA,1,0,0,0,1,0,340
BOYACA,1,1,2,2,1,61,341
SANTANDER,1,1,1,2,0,28,342
VALLE DEL CAUCA,1,1,2,2,0,25,343
SANTANDER,1,1,3,4,0,552,344
CUNDINAMARCA,0,0,0,0,1,0,345
LA GUAJIRA,1,0,0,0,1,0,346
ARAUCA,1,0,0,0,1,0,347
CUNDINAMARCA,1,0,0,0,1,0,348
NARINO,1,1,5,3,1,37,349
ANTIOQUIA,0,0,0,0,0,0,350
TOLIMA,1,1,1,2,1,44,351
ANTIOQUIA,1,1,5,3,0,29,352
META,0,0,0,0,0,0,353
MAGDALENA,1,1,0,0,0,9,354
NARINO,0,1,1,3,1,106,355
CUNDINAMARCA,1,1,3,3,0,494,356
CUNDINAMARCA,1,1,5,3,1,185,357
CUNDINAMARCA,1,1,0,0,0,37,358
CUNDINAMARCA,1,0,0,0,1,0,359
CUNDINAMARCA,0,0,0,0,0,0,360
BOYACA,1,0,0,0,1,0,361
CUNDINAMARCA,1,0,0,0,1,0,362
SANTANDER,0,0,0,0,1,0,363
ATLANTICO,1,0,0,0,1,0,364
SUCRE,0,0,0,0,1,0,365
CUNDINAMARCA,1,0,0,0,0,0,366
CESAR,0,0,0,0,0,0,367
SANTANDER,0,1,6,3,1,59,368
BOYACA,1,0,0,0,1,0,369
BOYACA,0,1,4,2,0,34,370
HUILA,1,1,4,4,0,3177,371
QUINDIO,0,1,2,2,0,61,372
HUILA,0,0,0,0,0,0,373
VALLE DEL CAUCA,0,0,0,0,0,0,374
ANTIOQUIA,1,1,4,3,1,80,375
CUNDINAMARCA,1,1,2,1,0,31,376
ANTIOQUIA,1,0,0,0,1,0,377
SANTANDER,1,1,3,1,1,90,378
ANTIOQUIA,1,0,0,0,1,0,379
CESAR,0,0,0,0,0,0,380
NORTE DE SANTANDER,1,0,0,0,0,0,381
CUNDINAMARCA,0,1,2,1,1,56,382
META,1,0,0,0,1,0,383
ANTIOQUIA,1,0,0,0,1,0,384
SANTANDER,1,1,5,2,0,145,385
BOYACA,1,0,0,0,0,0,386
VALLE DEL CAUCA,1,0,0,0,0,0,387
CAUCA,1,1,3,1,0,57,388
CUNDINAMARCA,1,0,0,0,0,0,389
NARINO,0,0,0,0,1,0,390
VALLE DEL CAUCA,0,0,0,0,0,0,391
HUILA,1,0,0,0,0,0,392
ANTIOQUIA,0,0,0,0,0,0,393
SANTANDER,0,1,4,2,1,118,394
CUNDINAMARCA,1,0,0,0,1,0,395
NARINO,0,0,0,0,0,0,396
NARINO,1,1,6,2,0,146,397
MAGDALENA,1,1,3,1,0,88,398
META,0,1,4,2,0,92,399
TOLIMA,1,0,0,0,1,0,400
CAUCA,1,0,0,0,0,0,401
SANTANDER,1,1,0,0,0,1,402
SUCRE,1,0,0,0,1,0,403
ANTIOQUIA,1,0,0,0,0,0,404
CUNDINAMARCA,1,1,2,1,0,64,405
ANTIOQUIA,1,0,0,0,1,0,406
CUNDINAMARCA,0,0,0,0,0,0,407
CUNDINAMARCA,0,0,0,0,0,0,408
BOYACA,0,0,0,0,0,0,409
RISARALDA,0,1,2,2,1,87,410
SANTANDER,1,0,0,0,0,0,411
CUNDINAMARCA,1,1,5,1,0,112,412
CUNDINAMARCA,1,0,0,0,1,0,413
BOYACA,1,0,0,0,1,0,414
SANTANDER,0,1,0,0,1,1,415
BOYACA,1,0,0,0,1,0,416
CUNDINAMARCA,0,1,3,1,1,150,417
NORTE DE SANTANDER,1,0,0,0,0,0,418
BOLIVAR,1,0,0,0,0,0,419
CASANARE,1,0,0,0,0,0,420
SANTANDER,1,0,0,0,1,0,421
LA GUAJIRA,0,0,0,0,1,0,422
ANTIOQUIA,1,0,0,0,0,0,423
NORTE DE SANTANDER,1,0,0,0,1,0,424
TOLIMA,1,0,0,0,0,0,425
ANTIOQUIA,0,0,0,0,0,0,426
HUILA,0,0,0,0,0,0,427
TOLIMA,0,0,0,0,1,0,428
TOLIMA,1,0,0,0,1,0,429
TOLIMA,1,0,0,0,1,0,430
NARINO,0,0,0,0,1,0,431
NARINO,0,1,2,1,0,43,432
GUAINIA,0,1,3,1,1,62,433
CAUCA,0,0,0,0,1,0,434
NARINO,1,0,0,0,0,0,435
HUILA,1,0,0,0,0,0,436
HUILA,0,0,0,0,0,0,437
CHOCO,1,0,0,0,0,0,438
ANTIOQUIA,1,1,6,4,1,1892,439
ANTIOQUIA,1,1,2,3,1,50,440
BOYACA,0,0,0,0,1,0,441
CAUCA,1,0,0,0,1,0,442
VALLE DEL CAUCA,1,1,3,1,0,420,443
ANTIOQUIA,1,0,0,0,1,0,444
BOYACA,0,0,0,0,1,0,445
BOYACA,1,1,5,2,1,52,446
ANTIOQUIA,1,1,6,2,0,53,447
CUNDINAMARCA,1,0,0,0,1,0,448
SANTANDER,0,0,0,0,0,0,449
SANTANDER,0,0,0,0,1,0,450
ATLANTICO,1,1,1,0,0,49,451
CUNDINAMARCA,1,0,0,0,1,0,452
CHOCO,1,0,0,0,1,0,453
CORDOBA,1,0,0,0,0,0,454
HUILA,1,0,0,0,0,0,455
